"","Borough","XCoord","YCoord"
"1","BK",1018179,183451
"2","BK",991315,163382
"3","BK",988853,195465
"4","BK",1004595,178399
"5","BK",994496,187494
"6","BK",990050,164872
"7","BK",989443,159555
"8","BK",989024,187006
"9","BK",974750,165501
"10","BK",981432,176162
"11","BK",996526,189258
"12","BK",994441,158991
"13","BK",976036,168830
"14","BK",988594,180483
"15","BK",1019062,182789
"16","BK",1003427,188291
"17","BK",1006065,167096
"18","BK",999168,170643
"19","BK",989247,159096
"20","BK",1014019,182798
"21","BK",1016565,180658
"22","BK",989312,180522
"23","BK",1021203,184607
"24","BK",992741,167973
"25","BK",980923,160050
"26","BK",1017992,182040
"27","BK",1008512,186086
"28","BK",988403,191294
"29","BK",1008239,164712
"30","BK",1005592,166240
"31","BK",998653,198862
"32","BK",986226,186865
"33","BK",984856,187729
"34","BK",982528,174829
"35","BK",1009183,178717
"36","BK",1001695,191410
"37","BK",990950,183463
"38","BK",1000438,188929
"39","BK",1005109,168980
"40","BK",992864,167973
"41","BK",973912,166460
"42","BK",988072,168801
"43","BK",998079,191303
"44","BK",980320,174717
"45","BK",999424,167914
"46","BK",1005513,185862
"47","BK",973608,166403
"48","BK",999108,197011
"49","BK",1017212,188492
"50","BK",1010182,164555
"51","BK",1003062,162420
"52","BK",1015741,172408
"53","BK",1014431,186045
"54","BK",997342,172008
"55","BK",985135,162321
"56","BK",987718,154631
"57","BK",1009703,188974
"58","BK",986456,169544
"59","BK",984757,159991
"60","BK",990509,166668
"61","BK",986037,154907
"62","BK",1010098,165860
"63","BK",1014085,174201
"64","BK",994369,151113
"65","BK",987009,187874
"66","BK",993812,164135
"67","BK",1001092,184694
"68","BK",990844,173807
"69","BK",1007473,165346
"70","BK",999596,158465
"71","BK",992852,156246
"72","BK",1005163,179352
"73","BK",990628,182627
"74","BK",1013466,188372
"75","BK",988145,185787
"76","BK",988722,186045
"77","BK",991248,185546
"78","BK",976218,171964
"79","BK",997853,202888
"80","BK",1005236,153145
"81","BK",974502,169770
"82","BK",1004324,153981
"83","BK",1008239,164926
"84","BK",993083,169488
"85","BK",995461,178830
"86","BK",1006110,162510
"87","BK",1004315,165182
"88","BK",1021304,187219
"89","BK",997669,188236
"90","BK",981210,173681
"91","BK",1005195,174072
"92","BK",1002825,183404
"93","BK",997963,176098
"94","BK",1007457,179736
"95","BK",985544,180080
"96","BK",1009073,172652
"97","BK",1001756,168275
"98","BK",1004930,164534
"99","BK",1010733,178161
"100","BK",989124,182016
"101","BK",985593,186083
"102","BK",1007213,180967
"103","BK",993907,149874
"104","BK",1011297,180298
"105","BK",1011207,170578
"106","BK",1018542,185820
"107","BK",1020785,188639
"108","BK",986723,180900
"109","BK",998275,155173
"110","BK",997547,203306
"111","BK",1001997,166001
"112","BK",993228,174179
"113","BK",1009337,190472
"114","BK",1000735,186794
"115","BK",991929,167018
"116","BK",1008438,195524
"117","BK",1000318,167027
"118","BK",991372,184752
"119","BK",999885,163716
"120","BK",989227,163314
"121","BK",985077,180582
"122","BK",1001711,153203
